i8v	000000
i16v 000100
i32v	001000
i64v	001100
u8v	000001
u16v	000101
u32v	001001
u64v	001101
f8v	000010
f16v	000110
f32v	001010
f64v	001110
*	000011
*	000111
*	001011
*	001111
i8	010000
i16 010100
i32	011000
i64	011100
u8	010001
u16	010101
u32	011001
u64	011101
f8	010010
f16	010110
f32	011010
f64	011110
s	010011
*	010111
*	010111
o	011111
i8va	100000
i16va	100100
i32va	101000
i64va	101100
u8va	100001
u16va	100101
u32va	101001
u64va	101101
f8va	100010
f16va	100110
f32va	101010
f64va	101110
*	100011
*	100111
*	101011
*	101111
i8a	110000
i16a 110100
i32a	111000
i64a	111100
u8a	110001
u16a	110101
u32a	111001
u64a	111101
f8a	110010
f16a	110110
f32a	111010
f64a	111110
sa	110011
*	110111
*	110111
oa	111111
